Class,Name,Prereq,Desc,SP,Type,In?,notes
,Heavy Swing,None,A powerful close-range strike.,3,Attack,X,
,Killer Blow,Heavy Swing 1,A high crit low hit strike.,3,Attack,X,
,Boomerang Axe,Heavy Swing 2,A ranged and imprecise axe throw.,3,Attack,X,
,Vengeance Bash,Vital Hit 3,A hit that deals damage scaling with missing HP.,3,Attack,X,
,Berserker Vow,"PROMO, Steady Morale 1, Vengeance Bash 3",Cut own HP for massive Atk buff.,3,Active (Buff),X,
,Vital Hit,"Steady Morale 1, Heavy Swing 3",A hit that deals bonus damage at full HP.,5,Attack,X,
,Smash Barrage,"Killer Blow 3, Overpowering 1, Boomerang Axe 3",A flurry of many low-accuracy axe smashes.,5,Attack,X,
,Takedown,"PROMO, Full Charge 1, Smash Barrage 3",A one-shot kill that can't hit a non-disabled target.,5,Attack,X,
,,,,,,,
Archer,Sighting,None,Adjacent allies have 1.2x Hit.,1,Passive,X,
Sniper,Perch,None,1.5x Hit/Avo while on terrain.,1,Passive,X,
,Target Mark,Sure Aim 2,Mark a target to enable using Volley skills.,1,Active (Debuff),X,
,Killer Aim,PROMO,Hit above 100 becomes a damage multiplier.,1,Passive,X,
,Sure Aim,None,A buff that increases Hit and Luck.,2,Active (Buff),X,
,Drop Shot,Curved Shot 2,A mighty shot with a very precise far range.,2,Attack,X,
,Inescapable,Target Mark 1,Non-Volley attacks have bonus hit vs. Marked.,2,Passive,X,
,Curved Shot,None,An especially accurate attack.,3,Attack,X,
,Power Shot,Curved Shot 1,"Powerful, far-reaching, a bit shaky.",3,Attack,X,
,Flank Shot,Power Shot 1,Deals bonus damage if allies adjacent to target.,3,Attack,X,
,Armor Piercer,"Power Shot 2, Sure Aim 1","Reduces Atk, but ignores all Def.",3,Attack,X,
,Closer,"PROMO, Drop Shot 2, Power Shot 3",A long-ranged shot that binds legs.,3,Attack (Ailment),X,
,Point Blank Volley,Target Mark 1,Loose 2 highly accurate close-range shots.,5,Attack (Cond.),X,
,Squall Volley,"Target Mark 1, Power Shot 2",Loose 6-16 very inaccurate far-range shots.,5,Attack (Cond.),X,
,Astral Volley,"PROMO, Target Mark 1, Drop Shot 2, Armor Piercer 3",Loose 10 expensive mega range shots.,5,Attack (Cond.),X,
,,,,,,,
Scholar,Studious,None,"1.2x Hit, 1.2x EXP gain.",1,Passive,X,
Warlock,Efficiency,Frostfall 1,Spells cost 1 less durability.,1,Passive,X,
,Element Master,Earthspike 1,1.2x Atk if using a different skill from last turn.,1,Passive (State),X,
,Etheric Charge,PROMO,Charge to get 2.5x Atk next initiation.,1,Active (State),X,
,Calibur,Thunderbolt 1,An accurate attack of cutting winds.,2,Attack,X,
,Surge,Calibur 2,A strong close range attack that can't miss.,2,Attack,X,
,Earthspike,Surge 2,A devastating and inaccurate attack.,2,Attack,X,
,Fireball,None,A basic magical attack.,3,Attack,X,
,Thunderbolt,Fireball 1,A slower attack with long range.,3,Attack,X,
,Frostfall,Calibur 1,A chilling attack that leg binds its target.,3,Attack (Ailment),X,
,Firestorm,"Fireball 3, Surge 2",A powerful spell that sears a wide area.,3,Attack,X,PostBattle
,Galewind,"PROMO, Calibur 2, Surge 2, Frostfall 3",A swift spell that doubles strikes.,3,Attack,X,
,Ether Shot,"Thunderbolt 2, Earthspike 1",Imbue any weapon with magic to strike.,5,Attack,X,
,Megido,"Thunderbolt 3, Surge 1",Powerful and costly magic.,5,Attack,X,
,Eschaton,"PROMO, Megido 5, Earthspike 2",Almighty magic that skips the user's next turn.,5,Attack (Cond.),X,
,,,,,,,
Curate,Self-Care,None,Healing items/spells will always fully heal this unit.,1,Passive,X,
Medic,Quick Feet,None,+1 movement when at or below 50% HP.,1,Passive,X,
,Panacea,Cure 2,Healed allies will recover HP at start of turn for several turns.,1,Passive (Buff),X,Turn Start
,Scavenger,PROMO,"If this unit kills, autofulfills any conditional drops.",1,Passive,X,
,Calming Presence,None,Nearby allies get bonus Luck/Res.,2,Passive,X,
,Curare,None,Paralyze a nearby enemy.,2,Active (Ailment),X,
,Cardio,Quick Feet 1,Passively increases HP/Spd.,2,Passive,X,
,Cure,None,Restore HP to a nearby ally. (Upgrade for range),3,Active (Support),X,
,Refresh,Cure 1,Removes status afflictions/debuffs.,3,Active (Support),X,
,Toxin,Curare 1,Poison a nearby enemy.,3,Active (Ailment),X,
,Wrath Staff,"Cardio 1, Cure 1",A powerful staff hit with high Crit.,3,Attack,X,
,Immunize,"PROMO, Cure 3, Refresh 3",Significantly increases ally Def.,3,Active (Buff),X,
,Healing Touch,Cure 3,Restores HP to all allies in an area.,5,Active (Support),X,
,Phys. Aptitude,Cardio 2,Massively increases user's Str.,5,Passive,X,
,Caduceus,"PROMO, Scavenger 1, Wrath Staff 3, Phys Aptitude 5",An extraordinarily strong staff hit.,5,Attack,X,
,,,,,,,
Myrmidon,Sword Stance,None,"Use action to Stance for a bit, enabling skills.",1,Active (State),X,
Ronin,Indomitable,None,Prevents being oneshot from full HP.,1,Passive,X,
,Extend,"Clear Stance 2, Drawing Stance 2",Killing enemies on PP extends stance duration.,1,Passive (State),X,
,Stepping Slash,"PROMO, Sword Stance 1",Basic attacks activate Stance.,1,Passive (State),X,
,Upper Stance,Sword Stance 1,Increases Atk during Stance.,2,Passive,X,
,Clear Stance,Sword Stance 1,Increases Def during Stance.,2,Passive,X,
,Drawing Stance,Sword Stance 1,Increases AS during Stance.,2,Passive,X,
,Breath,Sword Stance 1,Cancels stance to restore HP.,3,Active (Cond.),X,
,Swallowslash,Upper Stance 1,A beautiful two-hit combo.,3,Attack (Cond.),X,
,Hazeslash,Clear Stance 1,A mesmerizing cut that can cause sleep.,3,Attack (Cond.),X,
,Petalslash,Drawing Stance 1,A rapid cut that deals AOE damage.,3,Attack (Cond.),X,
,Airslash,"PROMO, Upper Stance 1, Clear Stance 1, Drawing Stance 1",A transcendent ranged slash.	,3,Attack (Cond.),X,
,Graceful Blur,"Breath 2, Clear Stance 2",Cancels stance to warp a distance away.,5,Active (Cond.),X,
,Beheading,"Upper Stance 2, Drawing Stance 2",A deadly cut that can instakill.,5,Attack (Cond.),X,
,Peerless Combo,"PROMO, Swallowslash 3, Hazeslash 3, Petalslash 3, Airslash 3",Cancels stance to use a ranged 5 hit combo that sleeps w/AOE.,5,Attack (Cond.),X,
,,,,,,,
Rider,Battlefield Presence,None,All allies get +5 flat Hit.,1,Passive,X,
Strider,Swap,None,Swap spaces with an ally.,1,Active (Support),X,
,Firm Charge,Charging Throw 1,Get bonus Def per tile moved.,1,Passive,X,
,Mount Master,PROMO,"1.5x Atk/AS, .8x Damage taken vs mounted and mount-like enemies.",1,Passive,X,
,Rallying Flag,None,Increases Atk/Crit of nearby allies.,2,Active (Buff),X,
,Survival Flag,None,Increases Def/Avo of nearby allies.,2,Active (Buff),X,
,Expertise Flag,"Rallying Flag 1, Survival Flag 1",Increases EXP gain of nearby allies.,2,Active (Buff),X,
,Charging Thrust,None,A thrust whose might scales with tiles moved.,3,Attack,X,
,Charging Throw,Charging Thrust 1,A throw whose range scales with tiles moved.,3,Attack,X,
,Horse Slayer,Charging Thrust 2,A lance strike that cripples mounted foes.,3,Attack,X,
,Heartpiercer,"Rallying Flag 2, Horse Slayer 1",A deadly impale technique with high crit.,3,Attack,X,
,Archballista,"PROMO, Charging Thrust 3, Charging Throw 3",Stand still to throw a lance with incredible range.,3,Attack (Cond.),X,
,Full Force,Charging Thrust 3,A flurry whose hitcount scales with tiles moved.,5,Attack,X,
,Charge Command,"Charging Throw 3, Rallying Flag 2, Survival Flag 2",Boost allied movement by standing still.,5,Active (Support),X,
,Gae Bolg,"PROMO, Expertise Flag 2, Heartpiercer 3",An almighty charge that ignores defense.,5,Attack,X,
,,,,,,,
Raider,Menacing Presence,None,All enemies get -5 flat Avoid.,1,Passive,X,
Trailblazer,Pivot,None,Move to the other side of an ally.,1,Active (Support),X,
,Outrider,Charging Toss 1,Get bonus Crit per tile moved.,1,Passive,X,
,Trample,PROMO,"1.2x Atk/AS, .9x Damage taken vs unmounted enemies.",1,Passive,X,
,War Cry,None,Decreases Atk/Crit of nearby foes.,2,Active (Debuff),X,
,Hellish Cry,None,Decreases Def/Avo of nearby foes.,2,Active (Debuff),X,
,Dominant Cry,"War Cry 1, Hellish Cry 1",Decreases AS/Luck of nearby foes.,2,Active (Debuff),X,
,Charging Smash,None,A smash whose might scales with tiles moved.,3,Attack,X,
,Charging Toss,Charging Smash 1,A toss whose range scales with tiles moved.,3,Attack,X,
,Hit and Run,Charging Smash 2,"Strike, then continue moving.",3,Attack,X,PostBattle
,Gallop,"War Cry 1, Hellish Cry 1, Hit and Run 1",Buff self's Mov.,3,Active (State),X,
,Collected Fury,"PROMO, Charging Smash 3, Charging Toss 3",Stand still to swing an axe with incredible might.,3,Attack (Cond.),X,
,Great Cleave,Charging Smash 3,An AoE strike whose range scales with tiles moved.,5,Attack,X,PostBattle
,Raid Command,"Dominant Cry 2, Charging Toss 3",Boost allied offenses by standing still.,5,Active (Support),X,
,Regiment Rave,"PROMO, Great Cleave 5, Gallop 3",A strike that breaks the user's weapon to get another turn.,5,Attack,X,PostBattle
,,,,,,,
Gunner,Quick Draw,None,"If at non-melee range against enemy that counters, 1.5x Atk/AS.",1,Passive,X,
Dragoon,Steady Sighting,Vital Snipe 1,"If user moved no tiles, 1.5x Hit.",1,Passive,X,
,Firefight,Warning Shot 1,User has +.1x avoid per tile moved.,1,Passive,X,
,Point Blank,PROMO,3x AS when initiating in melee range.,1,Passive,X,
,Vital Snipe,None,An accurate shot that binds arms.,2,Attack (Ailment),X,
,Warning Shot,Vital Snipe 1,Debuff Atk/Luk of foes from a distance.,2,Active (Debuff),X,
,Flare Shot,Warning Shot 1,Lob a flare that blinds a target.,2,Attack (Ailment),X,
,Hip Shot,None,"A mid-range, mid-accuracy shot.",3,Attack,X,
,Mana Bullet,Hip Shot 1,An imbued shot that targets Res.,3,Attack,X,
,Power Snipe,"Hip Shot 1, Vital Snipe 1",A long-ranged and (mostly) accurate shot.,3,Attack,X,
,Rapid Fire,Hip Shot 3,A barrage of inaccurate short range bullets.,3,Attack,X,
,Riot Gun,"PROMO, Vital Snipe 2, Power Snipe 3",A mighty short-range shot that stuns.,3,Attack (Ailment),X,
,Scattershot,"Mana Bullet 2, Flare Shot 2",A powerful and inaccurate attack that deals AoE damage.,5,Attack,X,PostBattle
,Unload,"Rapid Fire 3, Warning Shot 2, Firefight 1",Break your gun to attack at low hit 1 time/use.,5,Attack,X,
,Ricochet,"PROMO, Power Snipe 3, Rapid Fire 3, Scattershot 5","Shoot 10 shots at any target, accuracy scaling with distance.",5,Attack,X,
,,,,,,,
Poet,Soothing Voice,None,Slightly heals allies when buffing them.,1,Passive,X,
Troubadour,Liberating Voice,None,Song-buffed allies have a chance to null ailments/debuffs.,1,Passive (Buff),X,
,Divine Voice,Resounding Tune 2,Song-buffed allies get 1.2x EXP.,1,Passive (Buff),X,
,Echoing Voice,PROMO,"When using consecutive buffs, applies previous buffs (max 3).",1,Passive (State),X,
,Erasure,Shelter 3,Clear ally debuffs/foe buffs in an area.,2,Active (Support),X,
,Enduring Tune,Bravery 3,The next song buff cast will last longer.,2,Active (State),X,
,Resounding Tune,Insight 3,The next song buff cast will impact a wider area.,2,Active (State),X,
,Bravery Song,None,A song that buffs Atk.,3,Active (Buff),X,
,Shelter Song,None,A song that buffs Def.,3,Active (Buff),X,
,Mercury Song,None,A song that buffs AS.,3,Active (Buff),X,
,Insight Song,None,A song that buffs Hit.,3,Active (Buff),X,
,Fleeting Song,"PROMO, Mercury 3, Insight 3",A song that buffs Mov.,3,Active (Buff),X,
,Eerie Chorus,"Bravery 3, Mercury 3",Extend ally buffs and enemy debuffs/ailments/binds.,5,Active (Support),X,
,Crescendo,"Enduring Tune 2, Resounding Tune 2","If Enduring and Resounding both active, user is massively boosted.",5,Passive,X,
,Awakening Voice,"PROMO, Fleeting 3, Bravery 3, Shelter 3",A song that lets allies move again.,5,Active (Support),X,
,,,,,,,
Seeker,Runic Rhythm,None,"1.2x Crit on odd turns, 1.2x Avo on even turns.",1,Passive,X,
Runemaster,Prismatic,None,Adjacent allies have +25 base Crit.,1,Passive,X,
,Runic Resonance,Revolution Rune 1,1.3x Crit against targets with Rune debuffs.,1,Passive,X,
,Runic Pierce,PROMO,Unit's critical hits deal 4x damage.,1,Passive,X,
,Magus Rune,None,"Allies get Res buff, enemies get Res debuff.",2,Active (Buff),X,
,Revolution Rune,Magus Rune 1,"Allies get Crit buff, enemies get Crit debuff.",2,Active (Buff),X,
,Agility Rune,Revolution Rune 1,"Allies get Spd buff, enemies get Spd debuff.",2,Active (Buff),X,
,Divine Lightning,None,A simple offensive rune with elevated crit.,3,Attack,,
,Shining Force,Divine Lightning 1,A rune that blinds the target and debuffs nearby Hit.,3,Attack (Debuff),,
,Chalkydri,Shining Force 1,A divine rune that heals allies after battle.,3,Attack,,
,Dusk Omen,"Divine Lightning 2, Revolution Rune 2",A night rune that nulls user Def but strikes twice.,3,Attack,,
,Solar Cleave,"PROMO, Agility Rune 2, Shining Force 3","Halves enemy HP. 30/60/90 hit, 1/2/3-6/8/10 range.",3,Attack,,
,Daybreak,"Magus Rune 2, Chalkydri 3",Purges allied rune buffs for a supercharged attack.,5,Attack (Buff),,
,Moonrise,"Magus Rune 2, Dusk Omen 3",Purges enemy rune debuffs to give an omniboost.,5,Attack (Debuff),,
,Twilight Burst,"PROMO, Daybreak 3, Moonrise 3",Purges all rune effects for a mighty strike that always crits.,5,Attack (Buff),,
,,,,,,,
Priest,War Fortune,None,All allies have 1.05x odds of landing ailments.,1,Passive,X,
War Magus,War Edge,None,Swords and staves can be used interchangebly for skills.,1,Passive,X,
,War Imbue,War Drain 1,Add 25% of Mag to Atk.,1,Passive,X,
,War Pierce,PROMO,All attacks target the weaker of the enemy's defenses.,1,Passive,X,"check if enemy is magus with skill, then choose?"
,War Bind,None,A cut that binds debuffed enemies.,2,Attack (Ailment),X,
,War Sap,None,A cut that debuffs ailing enemies.,2,Attack (Debuff),X,
,War Drain,"War Bind 1, War Sap 1",A cut that steals HP from ailing/debuffed foes.,2,Attack,X,
,War Heal,None,Restore HP to a distant ally. (Upgrade for power),3,Active (Support),X,
,War Wall,War Heal 1,Possibly nulls incoming ailments/debuffs in an area. (2 range),3,Active (State),X,
,War Grasp,"War Fortune 1, War Heal 3",Rescues an ally a distance away.,3,Active (Support),X,
,War Disease,"War Bind 2, War Sap 2",Attempts to inflict a random ailment/bind.,3,Active (Ailment),X,
,War Prayer,"PROMO, War Wall 3, War Fortune 1",Nearby allies will survive a hit at 1 HP.,3,Active (State),X,
,War Mirror,None,Copy ailments/debuffs from one enemy to others in range.,5,Active (Ailment),X,
,War Slash,"War Bind 2, War Sap 2, War Drain 2",A cut that deals massive damage to ailing foes.,5,Attack,X,
,War Phase,"PROMO, War Grasp 3, War Prayer 3",Warps an ally a distance away.,5,Active (Support),x,
,,,,,,,
Lurker,Unjust Reward,None,Recover HP when applying curses. uh idk maybe something else,1,Passive,,
Hexer,Guiding Force,None,Adjacent allies have 1.1x Hit/Crit.,1,Passive,X,
,Misfortune,"Sapping 1, Frailty 1, Leaden 1",Debuff curses also now apply a debuff to halve enemy Luck.,1,Passive (Debuff),X,
,Impure Reach,PROMO,Adds 25 to status hitrate after all other multipliers.,1,Passive,X,
,Sapping,None,A curse that lowers Atk.,2,Active (Debuff),X,
,Frailty,None,A curse that lowers Def.,2,Active (Debuff),X,
,Leaden,None,A curse that lowers AS.,2,Active (Debuff),X,
,Torpor,None,A curse that inflicts sleep.,3,Active (Ailment),X,
,Madness,Torpor 1,A curse that inflicts a berserker rage.,3,Active (Ailment),X,
,Binding,"Sapping 2, Frailty 2, Leaden 2",A curse that binds body parts.,3,Active (Ailment),X,
,Hex,Madness 1,A curse that inflicts a hateful curse.,3,Active (Ailment),X,
,Stoning,"PROMO, Torpor 3, Madness 3",A curse that petrifies a target.,3,Active (Ailment),X,
,Muting Word,"Hex 2, Frailty 1",Command cursed enemies to take extra damage.,5,Active (Ailment),,
,Suicide Word,"Hex 3, Madness 2",Command cursed enemies to attack self.,5,Active (Ailment),,
,Deity's Word,"PROMO, Hex 3, Binding 3",Command cursed enemies to bow down and give items.,5,Active (Ailment),,
,,,,,,,
Dark Hunter,Opportunistic,None,Double enemies before counterattacks.,1,Passive,X,
Dominator,Limber,None,Recover from statuses a turn early.,1,Passive (Ailment),X,
idk,Anatomy,Precision 3,1.5x Atk against ailing/bound foes.,1,Passive,X,
maybe make,Merciless,PROMO,Massively increases crit against ailing/bound foes.,1,Passive,X,
climax,Cuffs Whip,None,A whip strike that binds arms.,2,Attack (Ailment),X,
or ecstasy,Shackle Whip,None,A whip strike that binds legs.,2,Attack (Ailment),X,
these skills,Mute Whip,None,A whip strike that binds heads.,2,Attack (Ailment),X,
bit lame,Toxin Whip,None,A whip strike that poisons.,3,Attack (Ailment),X,
lotta overlap,Slumber Whip,Toxin Whip 2,A whip strike that forces sleep.,3,Attack (Ailment),X,
,Mirage Whip,Slumber Whip 2,A whip strike that enrages.,3,Attack (Ailment),X,
,Precision,Cripple Whip 2,Significantly buffs Hit/Crit of self and nearby allies.,3,Active (Buff),X,
,Climax Whip,"PROMO, Anatomy 1, Mirage Whip 3",An instakill that's more likely the less HP the target has.,3,Attack,X,
,Cripple Whip,"Cuffs Whip 1, Shackle Whip 1, Mute Whip 1",An attack that debuffs Atk/Spd/Def/Mov.,5,Attack (Debuff),X,
,Whipstorm,"Toxin Whip 3, Slumber Whip 3, Mirage Whip 3","Strikes three times, attempting an infliction each time.",5,Attack (Ailment),X,
,Liberation,"PROMO, Cripple Whip 3, Precision 3",Purges ailments/debuffs while dealing massive damage.,5,Attack (Ailment),X,
,,,,,,,
Lancer,Morale Boost,None,Allies regain 10% HP upon user killing.,1,Passive,X,
Highlander,Blood Fortune,None,User immune to being crit while not at full HP.,1,Passive,X,
,Blood Fury,Bloody Offense 1,Grants 1.3x Atk after taking combat damage.,1,Passive (Buff),X,
,Bloodrush,PROMO,Grants +1 Movement after taking combat damage.,1,Passive (Buff),X,
,Clear Mind,None,Consume user HP to clear debuffs/ailments.,2,Active (Support),,
,Spirit Shield,None,Consume user HP to buff ally Def/Luck.,2,Active (Buff),,
,Bloody Offense,Stigmata 2,Consumes HP in an area to buff all Atk.,2,Active (Buff),,
,Far Thrust,None,A long ranged basic thrust.,3,Attack,,
,Spear Assist,Long Thrust 2,"Consumes HP to thrust, using sum of nearby ally Mag as Atk mult.",3,Attack,,
,Head Pierce,Spear Assist 2,Binds heads and instakills. Consumes HP.,3,Attack (Ailment),,
,Stigmata,Spirit Shield 2,Bind self and consume HP to cripple enemies.,3,Active (Debuff),,
,Legion Thrust,"PROMO, Spear Assist 3, Spear Delay 5",A mighty thrust. Consumes ally HP.,3,Attack,,
,Cross Charge,None,A powerful strike boosted by Spear Delay. Consumes HP.,5,Attack (State),,
,Spear Delay,Cross Charge 1,Spend HP to charge. Stronger with more turns.,5,Attack (State),,
,Spear Reversal,"PROMO, Stigmata 3, Spear Assist 3, Bloody Offense 2",Damage scales with missing HP. Fully heals afterward.,5,Attack,,
,,,,,,,
Brawler,Intimidation,None,Adjacent enemies have .9x Hit/Avo.,1,Passive,X,
Pugilist,Smite,Corkscrew 3,Push adjacent units up to two tiles away.,1,Active (Support),X,
,Wrath,Close Combat 1,Crit multiplied by missing HP%.,1,Passive,X,
,Adrenaline Rush,PROMO,Get another attack after successfully inflicting.,1,Passive,,
,Breather,None,Heal ailments/binds to restore HP.,2,Active (Support),,
,Drain Punch,Leg Render 3,A punch that saps enemy Atk into your HP.,2,Attack,,
,Vortex Jab,Skull Cracker 3,A mighty punch that shoots a ranged wave.,2,Attack,,
,Arm Breaker,None,A punch that binds arms.,3,Attack (Ailment),,
,Leg Render,None,A punch that binds legs.,3,Attack (Ailment),,
,Skull Cracker,None,A punch that binds heads.,3,Attack (Ailment),,
,Corkscrew,None,A tackle that paralyzes.,3,Attack (Ailment),,
,Cross Counter,"PROMO, Arm Breaker 3, Leg Render 3, Skull Cracker 3",Stance up to guarantee binds when countering.,3,Active (State),,
,Close Combat,"Breather 2, Arm Breaker 3",An all-out attack that debuffs user Atk/Def afterwards.,5,Attack (Debuff),,
,Full Combo,"Arm Breaker 2, Leg Render 2, Skull Cracker 2, Corkscrew 2",Use all bind punches in a row at reduced power.,5,Attack (Ailment),,
,Knockout Finisher,"PROMO, Corkscrew 3, Full Combo 5",An incredibly powerful punisher against bound enemies.,5,Attack,,
,,,,,,,
Hunter,Cover Fighter,None,1.2x Atk/Crit/Avo while on spaces with terrain bonuses.,1,Passive,X,
Survivalist,Lone Wolf,None,1.5x Avo when no allies are within 2 spaces.,1,Passive,X,
,Hunter's Spoils,Sapping Arrow 1,1.3x EXP when killing a debuffed enemy.,1,Passive,X,
,Camouflage,PROMO,"Toggle Stealth for Avo/Atk, break stealth when attacking.",1,Active (State),,
,Trickery,None,Severely debuff enemy Hit.,2,Active (Debuff),,
,Flame Arrow,Toxin Arrow 2,An arrow that targets Res.,2,Attack,,
,Sapping Arrow,Flame Arrow 2,An arrow that debuffs Atk/Spd.,2,Attack (Debuff),,
,Blind Arrow,None,An arrow that blinds.,3,Attack (Ailment),,
,Sleep Arrow,Blind Arrow 1,An arrow that forces sleep.,3,Attack (Ailment),,
,Toxin Arrow,Sleep Arrow 1,An arrow that poisons.,3,Attack (Ailment),,
,Numbing Arrow,Sleep Arrow 2,An arrow that paralyzes.,3,Attack (Ailment),,
,Scapegoat,"PROMO, Trickery 2, Toxin Arrow 3",Grants another ally provocation and some avoid.,3,Active (Buff),,
,Illusion Step,"Flame Arrow 2, Foot Pierce 3",Increase avoid and chase all bow/gun attacks.,5,Active (State),,
,Hazy Arrow,"Trickery 2, Blind Arrow 3, Sleep Arrow 3",A mighty arrow usable after dodging.,5,Attack (State),,
,Predator's Arrow,"PROMO, Camouflage 1, Sapping Arrow 2, Toxin Arrow 3",Usable only out of Stealth. Guaranteed debuff/status.,5,Attack (Debuff),,
,,,,,,,
Sky Knight,Alert Wings,None,1.2x Avoid when defending.,1,Passive,X,
Seraph,Sky Squadron,None,1.2x Atk/AS/Hit/Avo/Def per deployed flier.,1,Passive,X,
,Reposition,Lunging Lance 1,Move an ally to your opposite side.,1,Active (Support),X,
,Savior Rush,PROMO,+1 Mov per ally at 50% HP or lower.,1,Passive,X,
,Resilient Wings,None,Buff the user's Def.,2,Active (Buff),,
,Swift Wings,None,Buff the user's Avo/AS.,2,Active (Buff),,
,Winged Gallop,"Resilient Wings 1, Swift Wings 1",Buff the user's Mov.,2,Active (Buff),,
,Tempest Lance,None,A strike whose damage scales with Spd.,3,Attack,,
,Frozen Lance,Tempest Lance 1,A lance strike that targets Res.,3,Attack,,
,Holy Lance,Frozen Lance 1,A lance strike that heals allies after combat.,3,Attack,,
,Lunging Lance,Winged Gallop 1,"Strike, then swap with your target.",3,Attack,,PostBattle
,Mercy's Wings,"PROMO, Holy Lance 3, Resilient Wings 2","Give HP to a critically low ally, then buff all stats.",3,Active (Buff),,
,Javelin of Light,"Tempest Lance 3, Frozen Lance 3",An unerring ranged attack.,5,Attack,,
,Soaring Strike,"Swift Wings 2, Lunging Lance 3","Attack, then become intangible until next PP.",5,Attack (State),,PostBattle
,Hope's Lance,"PROMO, Mercy's Wings 3, Soaring Strike 5",Attack and give nearby allies a miracle effect.,5,Attack (State),,PostBattle
,,,,,,,
Scale Knight,Retaliatory Wings,None,1.1x Atk when defending.,1,Passive,X,
Scalemaster,Flying Fortress,None,1.5x Atk/AS/Crit when fighting flying enemies.,1,Passive,X,
,Draw Back,Smiting Strike 1,Pull an ally along a space.,1,Active (Support),X,
,Executor,PROMO,Damage multiplied by enemy missing HP%.,1,Passive,X,
,Resonant Roar,None,Debuff enemy Def/Luck.,2,Active (Debuff),,
,Cleansing Rage,Resonant Roar 1,Clear own buffs/debuffs.,2,Active (Support),,
,Draconic Fury,Cleansing Rage 1,Cut own HP to boost Atk/Mov.,2,Active (Buff),,
,Hammer Down,None,A simple and punishing swing.,3,Attack,,
,Malignant Strike,Hammer Down 1,A brutal axe swing that poisons.,3,Attack (Ailment),,
,Flame Smash,Hammer Down 2,A blazing axe swing that targets Res.,3,Attack,,
